State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File,Latitude,Longitude,Neighbors
BORNO,ABADAM,AREGE,08-01-01-003,METELE PRI. SCH. I,89,964,True,-1,False,False,False,False,UNKNOWN,35,0,36,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/22436/result_183227_1677540722_thumb.jpg,13.4892,13.3286,METELE PRI. SCH. II
BORNO,ABADAM,AREGE,08-01-01-004,METELE PRI. SCH. II,41,614,True,-1,False,False,False,False,UNKNOWN,66,25,3,63,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3244/ward/19184/pu/22447/22447-1677632078.pdf,13.4892,13.3286,METELE PRI. SCH. I
BORNO,ABADAM,BANOWA,08-01-02-001,BANOWA PRI. SCH.,28,740,True,-1,False,False,False,False,UNKNOWN,22,0,4,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/22443/result_183241_1677535782_thumb.jpg,13.20166995,13.183657341719869,LIMBARI
BORNO,ABADAM,BANOWA,08-01-02-003,LIMBARI,5,339,True,-1,False,False,False,False,UNKNOWN,3,0,2,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/22445/result_183243_1677532452_thumb.jpg,13.20166995,13.183657341719869,BANOWA PRI. SCH.
BORNO,ABADAM,FOUGUWA,08-01-03-001,ALLA,41,622,True,-1,False,False,False,False,UNKNOWN,41,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/22446/result_183245_1677533489_thumb.jpg,13.617475,13.2663518,"BULANGILA, FOGUWA , GAWASA I, LARISKI, MINARE, NGA'AM PRI. SCH., TALLAM, ANGUWAN MODU I, ANGUWAN SULEIMAN I, DUGURI PRI. SCH., G.S.S MALLAM FATORI, KUDOKURGU HEALTH CENTRE, KUDOKURGU  BARRACKS, LIMANTI, MOBBARTI I, AFUNORI PRI. SCH. II, NJARA A, BAZZAM BALLERI II"
BORNO,ABADAM,FOUGUWA,08-01-03-002,BULANGILA,18,272,True,-1,False,False,False,False,UNKNOWN,13,0,5,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/22447/result_183246_1677532987_thumb.jpg,13.617475,13.2663518,"ALLA, FOGUWA , GAWASA I, LARISKI, MINARE, NGA'AM PRI. SCH., TALLAM, ANGUWAN MODU I, ANGUWAN SULEIMAN I, DUGURI PRI. SCH., G.S.S MALLAM FATORI, KUDOKURGU HEALTH CENTRE, KUDOKURGU  BARRACKS, LIMANTI, MOBBARTI I, AFUNORI PRI. SCH. II, NJARA A, BAZZAM BALLERI II"
BORNO,ABADAM,FOUGUWA,08-01-03-003,FOGUWA ,103,834,True,-1,False,True,False,False,UNKNOWN,79,0,16,2,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/22448/result_183247_1677532994_thumb.jpg,13.617475,13.2663518,"ALLA, BULANGILA, GAWASA I, LARISKI, MINARE, NGA'AM PRI. SCH., TALLAM, ANGUWAN MODU I, ANGUWAN SULEIMAN I, DUGURI PRI. SCH., G.S.S MALLAM FATORI, KUDOKURGU HEALTH CENTRE, KUDOKURGU  BARRACKS, LIMANTI, MOBBARTI I, AFUNORI PRI. SCH. II, NJARA A, BAZZAM BALLERI II"
BORNO,ABADAM,FOUGUWA,08-01-03-004,GAWASA I,44,475,True,-1,False,False,False,False,UNKNOWN,3,0,3,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/22449/result_183248_1677533762_thumb.jpg,13.617475,13.2663518,"ALLA, BULANGILA, FOGUWA , LARISKI, MINARE, NGA'AM PRI. SCH., TALLAM, ANGUWAN MODU I, ANGUWAN SULEIMAN I, DUGURI PRI. SCH., G.S.S MALLAM FATORI, KUDOKURGU HEALTH CENTRE, KUDOKURGU  BARRACKS, LIMANTI, MOBBARTI I, AFUNORI PRI. SCH. II, NJARA A, BAZZAM BALLERI II"
BORNO,ABADAM,FOUGUWA,08-01-03-005,LARISKI,2,219,True,-1,False,False,False,False,UNKNOWN,2,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/22450/result_183249_1677535585_thumb.jpg,13.617475,13.2663518,"ALLA, BULANGILA, FOGUWA , GAWASA I, MINARE, NGA'AM PRI. SCH., TALLAM, ANGUWAN MODU I, ANGUWAN SULEIMAN I, DUGURI PRI. SCH., G.S.S MALLAM FATORI, KUDOKURGU HEALTH CENTRE, KUDOKURGU  BARRACKS, LIMANTI, MOBBARTI I, AFUNORI PRI. SCH. II, NJARA A, BAZZAM BALLERI II"
BORNO,ABADAM,FOUGUWA,08-01-03-006,MINARE,6,264,True,-1,True,False,False,False,UNKNOWN,3,0,3,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/22451/result_183250_1677534041_thumb.jpg,13.617475,13.2663518,"ALLA, BULANGILA, FOGUWA , GAWASA I, LARISKI, NGA'AM PRI. SCH., TALLAM, ANGUWAN MODU I, ANGUWAN SULEIMAN I, DUGURI PRI. SCH., G.S.S MALLAM FATORI, KUDOKURGU HEALTH CENTRE, KUDOKURGU  BARRACKS, LIMANTI, MOBBARTI I, AFUNORI PRI. SCH. II, NJARA A, BAZZAM BALLERI II"
